Crime level,Crime level code,Neighbourhood,ATM,Accessories Store,Afghan Restaurant,African Restaurant,Airport,Airport Lounge,American Restaurant,Amphitheater,Animal Shelter,Antique Shop,Aquarium,Arcade,Argentinian Restaurant,Art Gallery,Art Museum,Arts & Crafts Store,Asian Restaurant,Athletics & Sports,Auto Dealership,Auto Garage,Automotive Shop,BBQ Joint,Baby Store,Badminton Court,Bagel Shop,Bakery,Bank,Bar,Baseball Field,Baseball Stadium,Basketball Court,Basketball Stadium,Beach,Beach Bar,Beer Bar,Beer Store,Belgian Restaurant,Big Box Store,Bike Shop,Bistro,Boat or Ferry,Bookstore,Botanical Garden,Boutique,Bowling Alley,Brazilian Restaurant,Breakfast Spot,Brewery,Bridal Shop,Bridge,Bubble Tea Shop,Building,Burger Joint,Burrito Place,Bus Line,Bus Station,Bus Stop,Business Service,Butcher,Cafeteria,Café,Cajun / Creole Restaurant,Camera Store,Campground,Cantonese Restaurant,Caribbean Restaurant,Casino,Castle,Cemetery,Cheese Shop,Chinese Restaurant,Chiropractor,Chocolate Shop,Churrascaria,Circus,Climbing Gym,Clothing Store,Cocktail Bar,Coffee Shop,College Gym,College Quad,College Rec Center,Comedy Club,Comfort Food Restaurant,Comic Shop,Concert Hall,Convenience Store,Cosmetics Shop,Costume Shop,Coworking Space,Creperie,Cuban Restaurant,Cupcake Shop,Curling Ice,Dance Studio,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Dive Bar,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Dumpling Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant,Financial or Legal Service,Fish & Chips Shop,Fish Market,Flea Market,Flower Shop,Food,Food & Drink Shop,Food Court,Food Stand,Food Truck,Fountain,French Restaurant,Fried Chicken Joint,Frozen Yogurt Shop,Fruit & Vegetable Store,Furniture / Home Store,Gaming Cafe,Garden,Gas Station,Gastropub,Gay Bar,General Entertainment,German Restaurant,Gift Shop,Go Kart Track,Golf Course,Gourmet Shop,Government Building,Greek Restaurant,Grocery Store,Gym,Gym / Fitness Center,Gym Pool,Hakka Restaurant,Harbor / Marina,Hardware Store,Hawaiian Restaurant,Health & Beauty Service,Health Food Store,High School,Historic Site,History Museum,Hobby Shop,Hockey Arena,Home Service,Hong Kong Restaurant,Hookah Bar,Hospital,Hostel,Hot Dog Joint,Hotel,Hotel Bar,Hotpot Restaurant,Hungarian Restaurant,IT Services,Ice Cream Shop,Indian Chinese Restaurant,Indian Restaurant,Indie Movie Theater,Indie Theater,Indonesian Restaurant,Indoor Play Area,Intersection,Irish Pub,Italian Restaurant,Japanese Restaurant,Jazz Club,Jewelry Store,Jewish Restaurant,Juice Bar,Kids Store,Kitchen Supply Store,Korean Restaurant,Lake,Latin American Restaurant,Laundromat,Leather Goods Store,Light Rail Station,Lingerie Store,Liquor Store,Lounge,Malay Restaurant,Market,Martial Arts School,Massage Studio,Medical Center,Medical Supply Store,Mediterranean Restaurant,Men's Store,Metro Station,Mexican Restaurant,Middle Eastern Restaurant,Miscellaneous Shop,Mobile Phone Shop,Modern European Restaurant,Monument / Landmark,Moroccan Restaurant,Movie Theater,Moving Target,Museum,Music School,Music Store,Music Venue,Nail Salon,National Park,Neighborhood,New American Restaurant,Nightclub,Non-Profit,Noodle House,Nudist Beach,Optical Shop,Organic Grocery,Other Great Outdoors,Outdoor Supply Store,Paintball Field,Pakistani Restaurant,Paper / Office Supplies Store,Park,Pastry Shop,Peking Duck Restaurant,Performing Arts Venue,Persian Restaurant,Pet Store,Pharmacy,Pie Shop,Pilates Studio,Pizza Place,Playground,Plaza,Poke Place,Pool,Pool Hall,Portuguese Restaurant,Poutine Place,Print Shop,Pub,Racecourse,Racetrack,Ramen Restaurant,Record Shop,Recreation Center,Rental Car Location,Residential Building (Apartment / Condo),Restaurant,River,Rock Climbing Spot,Rock Club,Roof Deck,Salad Place,Salon / Barbershop,Sandwich Place,Scenic Lookout,Science Museum,Sculpture Garden,Seafood Restaurant,Shoe Store,Shopping Mall,Skate Park,Skating Rink,Ski Chalet,Smoke Shop,Smoothie Shop,Snack Place,Soccer Field,Soccer Stadium,Soup Place,South American Restaurant,Spa,Speakeasy,Sporting Goods Shop,Sports Bar,Sports Club,Sri Lankan Restaurant,Stadium,Stationery Store,Steakhouse,Street Art,Supermarket,Supplement Shop,Sushi Restaurant,Syrian Restaurant,Szechuan Restaurant,Taco Place,Taiwanese Restaurant,Tapas Restaurant,Tattoo Parlor,Tea Room,Tennis Court,Tennis Stadium,Thai Restaurant,Theater,Theme Park,Theme Park Ride / Attraction,Theme Restaurant,Thrift / Vintage Store,Tibetan Restaurant,Toy / Game Store,Track,Trail,Train Station,Transportation Service,Turkish Restaurant,Udon Restaurant,University,Vegetarian / Vegan Restaurant,Video Game Store,Video Store,Vietnamese Restaurant,Volleyball Court,Warehouse Store,Whisky Bar,Wine Bar,Wings Joint,Women's Store,Xinjiang Restaurant,Yoga Studio,Zoo,Zoo Exhibit
Low,1,Canada Post Gateway Processing Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037037037,0,0,0,0,0,0,0,0,0.018518518518519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037037037,0,0,0,0,0,0.037037037037037,0.037037037037037,0,0,0,0,0,0,0.018518518518519,0,0,0,0,0.037037037037037,0,0,0,0,0,0,0,0,0,0,0,0,0.12962962962963,0,0,0,0.018518518518519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018518518518519,0,0,0,0,0,0,0,0,0,0,0,0.037037037037037,0,0,0.018518518518519,0,0,0.018518518518519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018518518518519,0,0,0,0.018518518518519,0,0,0,0.111111111111111,0,0,0,0,0,0,0.018518518518519,0,0,0,0,0,0,0,0.018518518518519,0,0,0,0.018518518518519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037037037,0.037037037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018518518518519,0,0,0,0,0,0.018518518518519,0.018518518518519,0,0,0,0,0,0,0,0,0.018518518518519,0,0,0,0,0,0,0,0,0,0,0.018518518518519,0,0,0,0,0,0,0.037037037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018518518518519,0,0.018518518518519,0,0.018518518518519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Low,1,Cedarbrae,0,0,0,0,0,0,0.016666666666667,0,0,0,0,0,0,0,0,0,0,0.016666666666667,0,0,0,0,0,0,0,0.05,0.033333333333333,0.016666666666667,0,0,0,0,0,0,0,0,0,0,0,0.016666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.016666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.016666666666667,0,0,0,0,0.016666666666667,0,0,0,0,0,0.066666666666667,0,0.066666666666667,0,0,0,0,0,0,0,0,0.016666666666667,0,0,0,0,0,0,0,0.016666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016666666666667,0,0,0.016666666666667,0,0,0.016666666666667,0,0,0,0,0.016666666666667,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.016666666666667,0.016666666666667,0.016666666666667,0,0,0.016666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016666666666667,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.016666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016666666666667,0,0,0,0.016666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033333333333333,0,0,0,0,0.016666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333333333,0,0,0,0,0,0,0.05,0,0,0,0,0,0.016666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.016666666666667,0,0,0,0,0,0,0,0,0,0.016666666666667,0,0,0,0,0,0,0,0,0,0.016666666666667,0,0,0,0,0,0,0.016666666666667,0,0,0,0,0,0,0,0,0.016666666666667,0,0,0,0,0,0,0.016666666666667,0.016666666666667,0,0.016666666666667,0,0
High,3,Central Bay Street,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.02,0,0.02,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.02,0.01,0,0,0,0.01,0,0,0,0.02,0,0,0.02,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.02,0,0.07,0,0,0,0,0,0,0.02,0,0.02,0,0,0.01,0,0,0,0.02,0,0.01,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.03,0,0.02,0,0,0,0,0,0,0.01,0,0,0.03,0.01,0,0,0,0.05,0,0,0,0,0,0.01,0.02,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.03,0.02,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0.02,0,0
Medium,2,Christie,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0.01,0,0,0,0.02,0,0.03,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0.02,0.08,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0.01,0,0,0.02,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0.03,0,0,0,0,0,0,0,0.01,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0.01,0,0,0,0,0,0.04,0.02,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.04,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.01,0,0,0,0.01,0,0,0,0.01,0,0
High,3,Church and Wellesley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.02,0.01,0,0,0,0.01,0,0,0,0.02,0,0,0.01,0,0,0,0,0,0,0.03,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0.11,0,0,0,0,0,0.02,0.01,0,0.01,0,0,0.01,0,0,0,0.02,0,0.01,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0.01,0,0.04,0.01,0,0,0.01,0,0,0.02,0,0,0.03,0.01,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.03,0.04,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.02,0,0,0.02,0,0,0.01,0,0,0,0,0.01,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.02,0,0.01,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.02,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0
Low,1,"Clarks Corners, Tam O'Shanter, Sullivan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021739130434783,0.065217391304348,0,0,0,0,0,0,0,0,0.021739130434783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021739130434783,0.021739130434783,0,0,0,0,0.086956521739131,0,0,0,0,0,0,0,0.043478260869565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021739130434783,0,0,0,0,0.021739130434783,0,0,0,0,0,0,0,0,0,0,0,0.043478260869565,0,0,0.065217391304348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021739130434783,0,0,0,0,0,0.043478260869565,0,0,0,0,0.021739130434783,0,0,0,0,0.021739130434783,0,0,0,0.021739130434783,0.021739130434783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021739130434783,0,0,0,0,0,0,0,0,0,0.021739130434783,0,0.021739130434783,0.021739130434783,0,0,0,0,0,0,0.021739130434783,0,0,0,0,0,0,0.021739130434783,0,0,0,0,0,0,0,0,0,0,0.021739130434783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021739130434783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043478260869565,0,0,0.043478260869565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021739130434783,0,0,0,0,0,0,0.043478260869565,0,0,0,0.021739130434783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021739130434783,0,0,0,0,0,0,0,0,0,0.021739130434783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021739130434783,0,0,0,0,0,0,0,0,0,0
Low,1,"Cliffside, Cliffcrest, Scarborough Village West",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0.05,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0.05,0,0,0,0.025,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0.025,0.025,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medium,2,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",0,0,0,0,0.014925373134328,0.014925373134328,0,0,0,0,0,0,0,0.014925373134328,0,0,0,0.014925373134328,0,0,0,0.014925373134328,0,0,0,0,0,0.014925373134328,0,0.014925373134328,0,0,0,0,0,0,0,0,0,0,0.029850746268657,0,0,0,0,0,0,0.029850746268657,0,0,0,0,0,0,0,0,0,0,0,0,0.08955223880597,0,0,0,0,0.014925373134328,0,0,0,0,0,0,0,0,0,0,0,0,0.074626865671642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014925373134328,0,0,0,0,0.014925373134328,0,0,0.014925373134328,0,0,0,0,0,0,0,0,0,0,0,0,0.014925373134328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014925373134328,0,0,0,0,0,0,0,0,0,0,0,0,0.044776119402985,0,0,0,0.044776119402985,0,0,0,0,0,0.014925373134328,0,0,0,0,0,0,0,0,0,0.029850746268657,0,0,0,0,0.014925373134328,0,0.014925373134328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014925373134328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014925373134328,0,0,0,0,0,0,0,0.119402985074627,0,0,0.014925373134328,0,0,0,0,0,0.029850746268657,0,0,0,0,0,0,0,0,0,0,0,0.014925373134328,0,0,0,0,0.029850746268657,0,0,0,0,0,0,0,0.029850746268657,0,0.014925373134328,0.014925373134328,0,0,0,0.014925373134328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014925373134328,0,0,0,0,0,0,0,0,0,0,0.014925373134328,0,0,0,0,0,0,0.029850746268657,0.029850746268657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014925373134328,0,0
High,3,"Commerce Court, Victoria Hotel",0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.03,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0.01,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.08,0,0,0,0,0,0,0.01,0,0.01,0,0,0.01,0,0,0,0,0,0,0.02,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.03,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0.01,0,0.01,0,0.01,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.01,0,0,0.01,0,0,0.03,0,0.04,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.04,0,0,0,0,0.01,0,0.02,0.01,0,0,0.01,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.03,0.02,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.02,0,0
Low,1,Davisville,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0.02,0,0,0,0,0,0.01,0,0.01,0.05,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.02,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0.04,0,0,0.01,0,0,0,0.07,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0.05,0,0.01,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0.04,0,0,0,0,0.01,0,0.01,0,0,0,0.01,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.02,0,0.03,0,0,0.01,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0.01,0.02,0,0,0.02,0,0
Low,1,Davisville North,0,0,0,0,0,0,0.010869565217391,0,0,0,0,0,0,0,0,0.010869565217391,0.021739130434783,0,0,0,0,0,0.010869565217391,0,0,0.032608695652174,0.010869565217391,0,0,0,0,0,0,0,0,0.010869565217391,0,0,0,0,0,0.021739130434783,0,0,0,0,0.021739130434783,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032608695652174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076086956521739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021739130434783,0,0.021739130434783,0,0,0,0,0.010869565217391,0,0,0,0,0,0,0,0,0,0.010869565217391,0,0,0,0,0,0,0,0.010869565217391,0,0.010869565217391,0,0.010869565217391,0.010869565217391,0,0,0,0,0,0,0,0,0,0.010869565217391,0,0,0,0,0,0,0,0,0,0,0,0.010869565217391,0.010869565217391,0,0.010869565217391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010869565217391,0,0.032608695652174,0,0,0.010869565217391,0,0,0,0.076086956521739,0.010869565217391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010869565217391,0.010869565217391,0,0,0,0,0,0.010869565217391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043478260869565,0,0,0,0,0,0.010869565217391,0,0,0.043478260869565,0,0.010869565217391,0,0,0,0,0,0,0,0,0,0.010869565217391,0,0,0,0,0.043478260869565,0,0,0,0,0.010869565217391,0,0,0,0,0,0.010869565217391,0,0,0,0.010869565217391,0,0,0,0,0,0,0,0,0.021739130434783,0,0.021739130434783,0,0,0,0,0,0,0,0.021739130434783,0,0.043478260869565,0,0,0.010869565217391,0,0,0,0,0,0,0.021739130434783,0,0,0,0,0,0,0,0.010869565217391,0,0,0,0,0,0,0.010869565217391,0,0,0.010869565217391,0,0,0,0.010869565217391,0.010869565217391,0,0,0.021739130434783,0,0
Low,1,"Del Ray, Mount Dennis, Keelsdale and Silverthorn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025641025641026,0,0,0,0.051282051282051,0,0,0,0,0,0,0,0,0,0.025641025641026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025641025641026,0,0,0,0,0,0,0,0.025641025641026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128205128205128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025641025641026,0.025641025641026,0,0,0.051282051282051,0,0,0,0,0,0,0,0,0,0,0,0.025641025641026,0,0,0.051282051282051,0,0,0,0,0,0,0,0,0.025641025641026,0,0,0,0,0,0,0,0,0.102564102564103,0,0,0.051282051282051,0,0,0,0,0,0,0,0,0,0,0.051282051282051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923076923077,0,0.025641025641026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025641025641026,0,0,0.025641025641026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923076923077,0,0,0,0,0,0.025641025641026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025641025641026,0,0,0,0,0,0,0,0,0,0,0,0.025641025641026,0,0,0,0,0,0,0,0,0,0,0
Low,1,Don Mills,0,0.005813953488372,0,0,0,0,0.011627906976744,0,0,0,0,0,0,0.005813953488372,0,0,0.011627906976744,0,0,0,0,0,0,0,0.005813953488372,0.011627906976744,0.034883720930233,0.005813953488372,0,0,0,0,0,0,0,0.011627906976744,0,0,0.005813953488372,0,0,0,0.005813953488372,0,0,0,0.005813953488372,0,0,0,0.005813953488372,0,0.023255813953488,0,0,0,0,0,0,0.005813953488372,0.017441860465116,0,0,0,0.011627906976744,0.011627906976744,0,0,0,0,0.011627906976744,0,0.011627906976744,0,0,0,0.005813953488372,0,0.087209302325581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011627906976744,0.005813953488372,0.011627906976744,0,0,0,0,0,0,0,0,0.005813953488372,0,0,0,0,0,0.011627906976744,0,0.005813953488372,0,0,0,0,0,0,0,0,0,0,0,0,0.011627906976744,0,0,0,0,0,0.005813953488372,0,0,0,0,0,0,0.011627906976744,0.011627906976744,0,0.005813953488372,0.005813953488372,0.029069767441861,0,0,0,0,0,0,0.011627906976744,0,0,0,0.005813953488372,0.005813953488372,0.005813953488372,0,0,0,0,0,0,0,0,0,0,0,0.011627906976744,0,0.005813953488372,0,0,0,0,0.011627906976744,0,0.029069767441861,0.046511627906977,0,0,0,0.005813953488372,0,0,0,0,0,0,0,0,0,0.017441860465116,0,0,0,0,0,0,0,0.005813953488372,0,0,0.011627906976744,0.029069767441861,0,0,0,0,0,0.017441860465116,0,0,0,0,0,0,0,0,0.011627906976744,0,0,0,0,0,0,0.005813953488372,0,0,0.005813953488372,0,0.023255813953488,0,0,0,0.005813953488372,0.011627906976744,0.023255813953488,0,0,0.034883720930233,0,0,0,0,0,0,0,0,0.005813953488372,0,0,0,0,0,0,0,0.063953488372093,0,0,0,0,0.005813953488372,0.005813953488372,0.029069767441861,0,0.005813953488372,0,0.005813953488372,0,0.011627906976744,0,0,0,0,0,0,0,0,0,0,0,0,0.005813953488372,0,0,0,0,0,0.005813953488372,0,0.023255813953488,0,0.011627906976744,0,0,0,0,0,0,0,0,0,0.005813953488372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005813953488372,0.017441860465116,0,0,0,0
