Crime level,Crime level code,Postal Code,Borough,Neighbourhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Low,1,M2N,North York,"Willowdale, Willowdale East",43.7701199,-79.4084928,3,Korean Restaurant,Coffee Shop,Bubble Tea Shop,Grocery Store,Japanese Restaurant,Ramen Restaurant,Pizza Place,Café,Sushi Restaurant,Sandwich Place
Low,1,M2P,North York,York Mills West,43.7527583,-79.4000493,4,Coffee Shop,Park,Japanese Restaurant,Sandwich Place,Bank,Restaurant,Burger Joint,Grocery Store,Gas Station,Gym
Low,1,M2R,North York,"Willowdale, Willowdale West",43.7827364,-79.4422593,3,Coffee Shop,Pizza Place,Park,Sandwich Place,Pharmacy,Bagel Shop,Discount Store,Middle Eastern Restaurant,Grocery Store,Fast Food Restaurant
Low,1,M3A,North York,Parkwoods,43.7532586,-79.3296565,3,Pharmacy,Coffee Shop,Park,Bus Stop,Intersection,Gas Station,Supermarket,Sandwich Place,Liquor Store,Fast Food Restaurant
Low,1,M3B,North York,Don Mills,43.7459058,-79.352188,3,Coffee Shop,Restaurant,Japanese Restaurant,Pizza Place,Bank,Gym,Sandwich Place,Park,Middle Eastern Restaurant,Italian Restaurant
Low,1,M3C,North York,Don Mills,43.7258997,-79.340923,3,Coffee Shop,Restaurant,Japanese Restaurant,Pizza Place,Bank,Gym,Sandwich Place,Park,Middle Eastern Restaurant,Italian Restaurant
Low,1,M3H,North York,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593,1,Park,Coffee Shop,Bank,Gas Station,Pizza Place,Intersection,Middle Eastern Restaurant,French Restaurant,Gym,Grocery Store
Medium,2,M3J,North York,"Northwood Park, York University",43.7679803,-79.4872619,4,Coffee Shop,Fast Food Restaurant,Restaurant,Chinese Restaurant,Pizza Place,Japanese Restaurant,Gas Station,Greek Restaurant,Bar,Massage Studio
Medium,2,M3K,North York,Downsview,43.7374732,-79.4647633,3,Vietnamese Restaurant,Coffee Shop,Park,Pizza Place,Grocery Store,Gas Station,Gym / Fitness Center,Bank,Fast Food Restaurant,Turkish Restaurant
Medium,2,M3L,North York,Downsview,43.7390146,-79.5069436,3,Vietnamese Restaurant,Coffee Shop,Park,Pizza Place,Grocery Store,Gas Station,Gym / Fitness Center,Bank,Fast Food Restaurant,Turkish Restaurant
Medium,2,M3M,North York,Downsview,43.7284964,-79.4956974,3,Vietnamese Restaurant,Coffee Shop,Park,Pizza Place,Grocery Store,Gas Station,Gym / Fitness Center,Bank,Fast Food Restaurant,Turkish Restaurant
