Postal Code,Borough,Neighbourhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
M2P,North York,York Mills West,43.7527583,-79.4000493,2,Coffee Shop,Park,Bank,Restaurant,Sandwich Place,Burger Joint,Grocery Store,Japanese Restaurant,Gas Station,Gym
M2R,North York,"Willowdale, Willowdale West",43.7827364,-79.4422593,2,Coffee Shop,Pizza Place,Park,Bagel Shop,Sushi Restaurant,Pharmacy,Discount Store,Middle Eastern Restaurant,Sandwich Place,Chinese Restaurant
M3A,North York,Parkwoods,43.7532586,-79.3296565,2,Pharmacy,Coffee Shop,Supermarket,Gas Station,Cosmetics Shop,Café,Park,Electronics Store,Paper / Office Supplies Store,Liquor Store
M3B,North York,Don Mills,43.7459058,-79.352188,2,Coffee Shop,Restaurant,Japanese Restaurant,Bank,Pizza Place,Middle Eastern Restaurant,Gym,Italian Restaurant,Sandwich Place,Pharmacy
M3C,North York,Don Mills,43.7258997,-79.340923,2,Coffee Shop,Restaurant,Japanese Restaurant,Bank,Pizza Place,Middle Eastern Restaurant,Gym,Italian Restaurant,Sandwich Place,Pharmacy
M3H,North York,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593,2,Park,Coffee Shop,Bank,Gas Station,Pizza Place,Ski Chalet,Sandwich Place,French Restaurant,Gym,Shopping Mall
M3J,North York,"Northwood Park, York University",43.7679803,-79.4872619,2,Coffee Shop,Restaurant,Fast Food Restaurant,Pizza Place,Chinese Restaurant,Japanese Restaurant,Bar,Bus Station,Gas Station,Shopping Mall
M3K,North York,Downsview,43.7374732,-79.4647633,2,Coffee Shop,Vietnamese Restaurant,Park,Gas Station,Pizza Place,Gym / Fitness Center,Grocery Store,Turkish Restaurant,Pharmacy,Athletics & Sports
M3L,North York,Downsview,43.7390146,-79.5069436,2,Coffee Shop,Vietnamese Restaurant,Park,Gas Station,Pizza Place,Gym / Fitness Center,Grocery Store,Turkish Restaurant,Pharmacy,Athletics & Sports
M3M,North York,Downsview,43.7284964,-79.4956974,2,Coffee Shop,Vietnamese Restaurant,Park,Gas Station,Pizza Place,Gym / Fitness Center,Grocery Store,Turkish Restaurant,Pharmacy,Athletics & Sports
M3N,North York,Downsview,43.7616313,-79.5209994,2,Coffee Shop,Vietnamese Restaurant,Park,Gas Station,Pizza Place,Gym / Fitness Center,Grocery Store,Turkish Restaurant,Pharmacy,Athletics & Sports
M4A,North York,Victoria Village,43.7258823,-79.3155716,2,Coffee Shop,Middle Eastern Restaurant,Gym,Fast Food Restaurant,Indian Restaurant,Thrift / Vintage Store,Grocery Store,Gym / Fitness Center,Shoe Store,Pizza Place
M4B,East York,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,2,Pizza Place,Intersection,Park,Gym / Fitness Center,Pharmacy,Coffee Shop,Bakery,Fast Food Restaurant,Athletics & Sports,Indian Restaurant
M4C,East York,Woodbine Heights,43.6953439,-79.3183887,2,Coffee Shop,Park,Pizza Place,Breakfast Spot,Sandwich Place,Bar,Bank,Pharmacy,Gastropub,Ice Cream Shop
M4E,East Toronto,The Beaches,43.6763574,-79.2930312,2,Coffee Shop,Pub,Beach,Japanese Restaurant,Breakfast Spot,Grocery Store,Ice Cream Shop,Sandwich Place,Bakery,BBQ Joint
M4G,East York,Leaside,43.7090604,-79.3634517,2,Grocery Store,Indian Restaurant,Coffee Shop,Bakery,Sporting Goods Shop,Restaurant,Supermarket,Sandwich Place,Park,Electronics Store
M4H,East York,Thorncliffe Park,43.7053689,-79.3493719,2,Coffee Shop,Sandwich Place,Restaurant,Furniture / Home Store,Indian Restaurant,Park,Burger Joint,Electronics Store,Grocery Store,Sporting Goods Shop
